原ID,原開放建議標題,原派發機關,建議資料集名稱,建議開放的欄位,建議原因,瀏覽次數,建議者,發表時間,頁面連結,標記人,標記時間,標記用＿ID,標記用＿開放建議標題,標記用＿派發機關,0. 政府對民眾申請開放資料的答覆是？,F1. 分案理由,F2. 派發機關數量是否正確,F3. 派發機關數量落差,F4. 派發且回覆數量是否完整,F5. 實際派發且回覆的機關數量,F6. 派發後實際回覆的機關數量有落差之數量,F7. 備註＿自行輸入,F8. 備註＿特定情況1,A1. 是否為開放資料？,(續) A2. 如果目前非開放資料，有說將來提供開放資料嗎？,A3. 是民眾需要的全部還是部分資料？,A4. (續) 目前只提供部分，有說將來要把資料補齊嗎？(填完請填A5),(續) A5. 目前只提供部分的原因1,(續) A6. 目前只提供部分的原因2,(續) A7. 目前只提供部分的原因3,A8. 准駁摘要,A9. 備註＿自行輸入1,A10. 備註＿特定情況1,A11. 備註＿特定情況2,A12. 備註＿特定情況3,A13. 備註＿特定情況4,B1. 是否有說明具體提供時間，或已回報提供？,"B1a. (續) 承諾提供時間為？
 格式：2019/06",B2. 是否提供開放資料？,B3. 是民眾需要的全部還是部分資料？,B4. 只提供部分的原因是？,B5. 只提供部分的原因是？,B6. 只提供部分的原因是？,B7. 准駁關鍵語句或摘要 (重點即可),B8. 備註＿自行輸入,B9. 備註＿特定情況1,B10. 備註＿特定情況2,B11. 備註＿特定情況3,C1. 不同意開放的原因是1,C2. 不同意開放的原因2,C3. 不同意開放的原因是3,C4. 准駁摘要,C5. 備註＿自行輸入,C6. 備註＿特定情況1,C7. 備註＿特定情況2,C8. 備註＿特定情況3,"DEGH1. 無法判斷/還未回覆/對於資料平台的意見/業務陳情意見而無關資料申請
 備註＿自行輸入",DEGH2. 備註＿特定情況1,DEGH3. 備註＿特定情況2,DEGH4. 備註＿特定情況3,V1. 驗證發現1,V2. 驗證發現1＿詳細描述：請貼上網址、或是細節文字,V3. 驗證發現2,V4. 驗證發現2＿詳細描述：請貼上網址、或是細節文字
35650,經濟部補助太陽光電發電設備概況,"經濟部能源局,台灣電力股份有限公司,經濟部",經濟部補助太陽光電發電設備概況,以經濟部對太陽光電發電設備之個別補助案件為單位，欄位包括申設者、安裝廠商、核准年月、補助依據、經費來源、補助金額、系統類型（併聯／獨立／混合防災）、裝置容量、系統所在之行政區、歷年發電資料（如有受補助之相對義務）。希望能包括例如適用能委會時期之「太陽光電發電示範系統設置補助」、能源局之「太陽光電建築經典示範計畫」、「陽光電城計畫」、「陽光校園計畫」、「莫拉克風災重建太陽光電應用設置補助計畫」 、「經濟部推動陽光社區補助」、「太陽光電發電設備設置補助」以及特定年度之「振興經濟擴大公共建設投資計畫」。,政府持續推動再生能源發展，政策方面則透過太陽光電發電設備之相關補助，提供民間設置誘因。惟目前相關統計資料並不完整，例如能源局網站的相關區塊（首頁 > 資訊與服務 > 政府資訊公開 > 支付或接受之補助）並未揭露這方面細節，希望能以合宜方式公開相關資料，以利後續議題探討，謝謝！,1471,c***9,2016/09/14 16:13,https://data.gov.tw/node/35650,chewei,2019/7/6,35650.2,經濟部補助太陽光電發電設備概況,台灣電力股份有限公司,E. 還未回覆 (跳E 選填備註),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35650,經濟部補助太陽光電發電設備概況,"經濟部能源局,台灣電力股份有限公司,經濟部",經濟部補助太陽光電發電設備概況,以經濟部對太陽光電發電設備之個別補助案件為單位，欄位包括申設者、安裝廠商、核准年月、補助依據、經費來源、補助金額、系統類型（併聯／獨立／混合防災）、裝置容量、系統所在之行政區、歷年發電資料（如有受補助之相對義務）。希望能包括例如適用能委會時期之「太陽光電發電示範系統設置補助」、能源局之「太陽光電建築經典示範計畫」、「陽光電城計畫」、「陽光校園計畫」、「莫拉克風災重建太陽光電應用設置補助計畫」 、「經濟部推動陽光社區補助」、「太陽光電發電設備設置補助」以及特定年度之「振興經濟擴大公共建設投資計畫」。,政府持續推動再生能源發展，政策方面則透過太陽光電發電設備之相關補助，提供民間設置誘因。惟目前相關統計資料並不完整，例如能源局網站的相關區塊（首頁 > 資訊與服務 > 政府資訊公開 > 支付或接受之補助）並未揭露這方面細節，希望能以合宜方式公開相關資料，以利後續議題探討，謝謝！,1471,c***9,2016/09/14 16:13,https://data.gov.tw/node/35650,chewei,2019/7/6,35650.3,經濟部補助太陽光電發電設備概況,經濟部,E. 還未回覆 (跳E 選填備註),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35603,台中市活動資料,臺中市政府,台中市政府各地活動即時資料,活動名稱，緯度，經度，活動地點，活動類別，活動日期，活動時間，活動簡介，活動費用,希望政府能提供各地官方舉辦活動資訊以供應用,1107,張***訕,2016/09/13 21:35,https://data.gov.tw/node/35603,chewei,2019/7/6,35603,台中市活動資料,臺中市政府,B. 同意提供 (跳B),,,,,1,,,,,,,,,,,,,,,,,已回報提供,,提供開放資料,全部資料,,,,,"當時2016的回覆內容中有回報資料網址 (http://data.gov.tw/node/35350) 但2019/7/6 再度點選卻無此頁面內容，反而需要重新用「臺中市政府全球資訊中文網活動訊息」進行關鍵字搜尋(才能找到此資料集
 https://data.gov.tw/dataset/84940)",,,,,,,,,,,,,,,,後來此資料真的上架了 (請貼上網址),https://data.gov.tw/dataset/84940,,
35602,有機、CAS農產品、產銷履歷、吉園圃食材供應量資訊,行政院農業委員會,具認證標章農產品供應量,年度、生產者名稱、蔬菜名稱、種植面積、單位產量。另外再計算標章農產品產量占全部農產量的比例,日前農委會說未來校園午餐要全面使用四大證認的食材(有機標章、CAS優良農產品、產銷履歷農產品、吉園圃)。農委會也掛保證生產量能穩定供應，但也有人提出不同數據質疑，現在呈現眾說紛紜的狀態。因此希望農委會能開放目前這些標章食材的生產量資訊，讓大家檢視這些標章食材是否真的能供應大量需求。,887,陳***霖,2016/09/13 18:14,https://data.gov.tw/node/35602,chewei,2019/7/6,35602,有機、CAS農產品、產銷履歷、吉園圃食材供應量資訊,行政院農業委員會,F. 要分案,申請者於本次申請提出兩種以上的資料需求,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35602,有機、CAS農產品、產銷履歷、吉園圃食材供應量資訊,行政院農業委員會,具認證標章農產品供應量,年度、生產者名稱、蔬菜名稱、種植面積、單位產量。另外再計算標章農產品產量占全部農產量的比例,日前農委會說未來校園午餐要全面使用四大證認的食材(有機標章、CAS優良農產品、產銷履歷農產品、吉園圃)。農委會也掛保證生產量能穩定供應，但也有人提出不同數據質疑，現在呈現眾說紛紜的狀態。因此希望農委會能開放目前這些標章食材的生產量資訊，讓大家檢視這些標章食材是否真的能供應大量需求。,887,陳***霖,2016/09/13 18:14,https://data.gov.tw/node/35602,chewei,2019/7/6,35602.0.1,有機食材供應量資訊,行政院農業委員會,A. 申請前已對外提供 (續A),,,,,,,,,無法判斷,,全部資料,,,,,,,資料所在未提供連結,,,,,,,,,,,經詢問業務主管機關，現已開放臺灣有機栽培農戶數及種植面積概況表，其餘部分產銷履歷、吉園圃等資訊將於近期修改相關介接程式後開放,,,,,,,,,,,,,,,,,不是新發現，我只是要補充問答內文中所提到的實際連結網址 (請貼上網址),https://data.gov.tw/dataset/24654,,
35602,有機、CAS農產品、產銷履歷、吉園圃食材供應量資訊,行政院農業委員會,具認證標章農產品供應量,年度、生產者名稱、蔬菜名稱、種植面積、單位產量。另外再計算標章農產品產量占全部農產量的比例,日前農委會說未來校園午餐要全面使用四大證認的食材(有機標章、CAS優良農產品、產銷履歷農產品、吉園圃)。農委會也掛保證生產量能穩定供應，但也有人提出不同數據質疑，現在呈現眾說紛紜的狀態。因此希望農委會能開放目前這些標章食材的生產量資訊，讓大家檢視這些標章食材是否真的能供應大量需求。,887,陳***霖,2016/09/13 18:14,https://data.gov.tw/node/35602,chewei,2019/7/6,35602.0.2,CAS農產品、產銷履歷、吉園圃食材供應量資訊,行政院農業委員會,B. 同意提供 (跳B),,,,,,,,,,,,,,,,,,,,,,沒有時間表,,無法判斷,無法判斷,,,,經詢問業務主管機關，現已開放臺灣有機栽培農戶數及種植面積概況表，其餘部分產銷履歷、吉園圃等資訊將於近期修改相關介接程式後開放,,,,,,,,,,,,,,,,,問答內文都沒提到，但是我知道這次的主題資料與以下網站內容密切相關,"CAS農產品 http://www.cas.org.tw/cas%E7%94%A2%E5%93%81%E6%9F%A5%E8%A9%A2
 產銷履歷農產品資訊網
 https://taft.coa.gov.tw/default.html
 吉園圃6月15日正式退場
 https://www.newsmarket.com.tw/blog/121127/",,
35411,(請提供) 全臺灣政府資料開放宣告的網站-(8/3提問，相關單位有回覆8/31提供資料),國家發展委員會,因研究相關在機關平台上有看到資料開放宣告，故想利用這些資料做一些有意義的事情。 自行搜尋範例如下，請參，再麻煩協助了，謝謝。 臺北市政府教育局：http://w,網站平台名稱、機關名稱、網址、宣告日期,"因研究相關在機關平台上有看到資料開放宣告，故想利用這些資料做一些有意義的事情。 自行搜尋範例如下，請參，再麻煩協助了，謝謝。 臺北市政府教育局：http://www.doe.gov.taipei/ct.asp?xItem=1187337&ctNode=37341&mp=104001 經濟部水利署：http://www.wra.gov.tw/ct.asp?xItem=64714&ctNode=8464&comefrom=lp#8464 臺灣土地銀行：https://www.landbank.com.tw/LB/Copyright.aspx
 -----
 因研究相關在機關平台上有看到資料開放宣告，故想利用這些資料做一些有意義的事情。 自行搜尋範例如下，請參，再麻煩協助了，謝謝。 臺北市政府教育局：http://www.doe.gov.taipei/ct.asp?xItem=1187337&ctNode=37341&mp=104001 經濟部水利署：http://www.wra.gov.tw/ct.asp?xItem=64714&ctNode=8464&comefrom=lp#8464 臺灣土地銀行：https://www.landbank.com.tw/LB/Copyright.aspx",1115,R****,2016/09/09 12:27,https://data.gov.tw/node/35411,chewei,2019/7/6,35411,(請提供 全臺灣政府資料開放宣告的網站-(8/3提問，相關單位有回覆8/31提供資料,國家發展委員會,B. 同意提供 (跳B),,,,,1,,,,開放資料 (跳A3),,全部資料,,,,,,,民眾重複申請,,,,已回報提供,,提供開放資料,全部資料,,,,,"雖然機關說8月底回上架，但9/9申請者後來再度詢問一次(
 https://data.gov.tw/node/35411) 該資料後來上架日期9/13(https://data.gov.tw/dataset/35521)，可能可以推測是因為申請者再度詢問9/9，使得機關將資料上架並回覆",,,,,,,,,,,,,,,,,,,
35410,基地台建置位置資訊是否可以另外申請,國家通訊傳播委員會,基地台建置位置及相關資訊資訊申請,基地台建置座標、中心頻率、電信業者、基地台編碼、發射訊號強度、使用頻寬,你好，由於近期的研究有需要基地台的相關資訊，不知道是否可以用學校名義，或者使用其他方法來申請。,1062,k***7,2016/09/09 10:56,https://data.gov.tw/node/35410,chewei,2019/7/6,35410,基地台建置位置資訊是否可以另外申請,國家通訊傳播委員會,A. 申請前已對外提供 (續A),,,,,1,,,,不是開放資料 (續A2),沒說要提供,全部資料,,,,,,,申請者因為論文或研究所以需要此資料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35338,違法雇主名單,勞動部,違法(勞動基準法、性別工作平等法)雇主名單,年度、違法公司名稱、統一編號,"新北市政府於今日(9/6)發布違法雇主查詢系統
 (新聞連結: http://www.nownews.com/n/2016/09/05/2229012 系統連結: http://ilabor.ntpc.gov.tw/cloud/Violate )
 感覺相當實用
 但目前僅有新北市能這樣查詢
 其他縣市需到各縣市勞動局網站去翻找
 希望未來能開放其他縣市之資料至此政府開放資料平台
 供使用者查詢
 後續也能有更多商業應用資訊或增進社會福祉之作為",1299,林***模,2016/09/06 16:23,https://data.gov.tw/node/35338,chewei,2019/7/6,35338,違法雇主名單,勞動部,B. 同意提供 (跳B),,,,,1,,,,,,,,,,,,,,,,,沒有時間表,,無法判斷,全部資料,,,,為便利民眾查詢，擬由勞動部整合各地方勞工行政主管機關違反法令公告專區之資訊，建置全國性之查詢系統，刻正規劃辦理中,,申請者有援引時事新聞,申請者希望已有查詢頁面的資料能提供開放資料集,,,,,,,,,,,,,,,,,
35337,違規停車取締資料,內政部,違規停車取締資料,時間 地點 原因 機關,研究需求使用 可改善交通狀況,897,C***g,2016/09/06 16:16,https://data.gov.tw/node/35337,chewei,2019/7/6,35337,違規停車取締資料,內政部,C. 不同意提供 (跳C),,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,非資料所有機關,,,有關「違規停車取締資料」部分，警政署係舉發機關，裁決機關為公路總局。,,申請者因為論文或研究所以需要此資料,,,,,,,,,,
35268,中研院各所出版品目錄,總統府,中研院各所出版品目錄,書名 isbn 出版年份 裝訂 開數 頁數 摘要 類型 編號 是否缺書 出版的所 作者,"因為各所出版品沒有整合成excel 而是散落在各所網頁上 還得一個個點進去查詢 更無法得知是否缺書
 
 導致書商想要建檔 或是學者研究非常不方便
 
 開放這些資料更能讓大眾清楚政府有哪些出版品
 
 因此希望中研院能考慮做出一個完整的研究所或中心之出版品資訊
 
 依照書名 isbn 類型(像是史料叢刊或是口述歷史) 編號 出版年份 裝訂(平/精/軟精) 開數 頁數 摘要 是否缺書 出版的所 作者 整合好格式 定期更新缺書
 
 並且 在此希望能夠更新isbn 網頁上仍留下許多10碼的isbn 但現在已經更新成13碼了
 
 最後 拜託你們能做好這不容易的事情",1092,L***1,2016/09/04 22:59,https://data.gov.tw/node/35268,Richard,2019/4/2,35268,中研院各所出版品目錄,總統府,C. 不同意提供 (跳C),,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,已提供單筆查詢功能,,,,,申請者希望已有查詢頁面的資料能提供開放資料集,,,,,,,,,,
35267,新北市道路禁停紅黃線開放查詢系統,本平臺營運窗口,新北市禁停紅黃線查詢,新北市禁停紅黃線查詢,新北市禁停紅黃線查詢,4888,蕭****,2016/09/04 19:11,https://data.gov.tw/node/35267,chewei,2019/7/6,35267,新北市道路禁停紅黃線開放查詢系統,本平臺營運窗口,B. 同意提供 (跳B),,,,,1,,,,,,,,,,,,,,,,,沒有時間表,,無法判斷,全部資料,,,,有關您反映「新北市道路禁停紅黃線開放查詢」，本市目前圖資系統尚在建置中，待建置完畢後再行開放民眾查詢。,,,,,,,,,,,,,,,,,,,,
35257,全國政府資訊公開法案件統計（全年分兩季）,法務部,全國政府資訊公開法案件統計（全年分兩季）,（全國、各中央機關、各縣市）本季已辦結之申請提供政府資訊案件總數、（全國、各中央機關、各縣市）本季申請內容全部核准案件數、（全國、各中央機關、各縣市）本季申請內容部分核准案件數、（全國、各中央機關、各縣市）本季申請內容全部駁回案件數、（全國、各中央機關、各縣市）駁回案件所援引之法規（細分至「款」）、（全國、各中央機關、各縣市）本季因政府資訊公開而發起的訴訟案件,政府資訊公開法是否被落實，是檢視政府是否具備可課責性的關鍵要件。目前有關政府資訊公開申請案的統計，僅有部分行政機關（如金管會、教育部、原能會）等有例行統計，多數機關並未有其辦理資訊公開的狀況，且即便有進行統計之機關，亦未有關於駁回所依據之法律統計，從而人民無從掌握政府資訊公開案件被駁回的概觀。此外，各機關因其業務不同，在資訊公開所面臨的准駁理由可能也都有差異。因此，才希望能有一個統整性，並以全國、中央機關、各縣市區分來進行的統計，以利人民未來能更有效率地瞭解政府資訊公開法的落實情形。,856,台***s,2016/09/02 17:49,https://data.gov.tw/node/35257,淑貞,2019/4/29 上午 7:54:46,35257,全國政府資訊公開法案件統計（全年分兩季）,法務部,C. 不同意提供 (跳C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,沒有該資料 (尚未蒐集或彙整),,,目前並無全國政府資訊公開法案件統計資料,,經典或重大案例,申請者援引相關法規,,,,,,,,,
33708,關於開放甲/乙/丙級清除處理機構之廢棄物代碼與公司名稱API,行政院環境保護署,清除處理機構允收代碼,"甲/乙/丙級清除處理機構可清運之廢棄物代碼
 業者名稱
 統編",目前僅可於網站上查詢各清除業者之可清運(處理)廢棄物代碼，但對於環保產業平台模式發展來說，如開放此資料api，將節省許多人工驗證服務商合法性之時間。,1348,阮***新,2016/08/15 8:43,https://data.gov.tw/node/33708,淑貞,2019/4/3,33708,關於開放甲/乙/丙級清除處理機構之廢棄物代碼與公司名稱API,行政院環境保護署,A. 申請前已對外提供 (續A),,,,,1,,,,開放資料 (跳A3),,只是部分 (續A4),沒說要補齊,沒有該資料 (尚未蒐集或彙整),,,,依「公民營廢棄物清除處理機構許可管理辦法」規定申請清除處理許可證，業者需檢送之證明文件並不限定於「公司登記證明文件或營利事業登記證」，故無統號資料可提供。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
